fos_status,animal_id,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,image_number
fos+,D05,14.486516121903737,7.265369782356347,13.449817568444587,2.8523489932885906
fos+,D06,15.32583789761674,13.43128118743269,10.223372929397247,2.5197368421052633
fos+,D07,15.395632795159303,5.74895742592438,14.412669199808247,2.6367521367521367
fos+,D08,17.616129363311558,3.8425146440164952,11.63854222474793,2.568840579710145
fos+,D09,8.913087648298236,10.195158810983138,10.278399936647963,1.5510204081632653
fos+,D10,16.66430784540838,8.712885189049763,10.928038155626705,2.569105691056911
fos+,D11,8.80806270013358,10.078171272357604,12.707270712108732,2.8
fos+,D12,13.476365099348762,6.345277150458947,12.931936848857953,3.28
fos+,D13,11.656405012150229,8.82777203945148,16.793472053387248,2.75
fos+,D14,12.235221693037682,10.95344544258036,10.72495533833762,2.9210526315789473
fos+,D15,11.582318533553883,11.598260573267796,10.148155574486443,2.125
fos+,D16,14.523209445922213,13.027325863918307,10.486933008571006,2.2933333333333334
fos+,D17,11.892507927680853,9.345389001442674,14.025985465188324,2.156862745098039
fos+,D18,9.937071998574586,6.551733751523409,13.066891341393104,2.7777777777777777
fos+,D19,15.10860738209521,15.40330309910056,12.8173462745576,2.1293103448275863
fos+,D20,21.549815526258545,10.376673876447843,14.338825281453326,2.4166666666666665
fos+,D21,16.55320142321218,12.17552041337279,10.34675053599116,2.5555555555555554
fos+,D22,12.350968999576839,5.8355572301717755,9.192069726335838,1.8333333333333333
fos-,D05,2.2848389469524673,6.24280838540593,12.603378827633417,3.0206896551724136
fos-,D06,3.248804102023159,3.7072638865221106,10.568239204973786,2.6732673267326734
fos-,D07,3.6072872697480096,3.238357064897658,11.091177285836608,2.5833333333333335
fos-,D08,3.902833331955597,2.8126521219738025,11.006419339426357,2.92
fos-,D09,2.293609721521612,7.970932997963726,10.179751190590865,2.44311377245509
fos-,D10,3.001593216868681,5.277200082594983,8.760659014027892,2.425531914893617
fos-,D11,2.016676426051734,4.436849704555224,10.095639291210642,2.531073446327684
fos-,D12,3.161906809413335,6.794294337168498,9.94236590948286,3.763157894736842
fos-,D13,2.284516939894251,8.864233909166332,15.361587776237766,2.5357142857142856
fos-,D14,1.8557229115278497,6.1292656997106025,10.104118902836623,2.7035175879396984
fos-,D15,1.8137761683457219,6.488729232669098,11.146253583889639,2.0575916230366493
fos-,D16,2.5362902041660913,4.939368685447817,10.583409719346395,2.5886524822695036
fos-,D17,1.6849799696494465,5.786534922546271,11.824065232207213,2.3484848484848486
fos-,D18,2.2368321314138617,8.817570442349211,11.050626800903828,2.610810810810811
fos-,D19,3.229562458209529,3.957470452500405,12.694573707351447,2.5869565217391304
fos-,D20,3.352913553595606,7.52172293698327,7.566025607630325,1.8048780487804879
fos-,D21,2.624465141031129,6.328697054810076,8.815917558655805,2.4941176470588236
fos-,D22,0.9532443141610617,6.403742225101735,8.751664460217045,2.5355191256830603
