,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
46,D05_A01_G001_0001.xls,1.3836273076887673,38.74156461528548,2.7672546153775346,fos-,Gad2,D05,1
47,D05_A01_G001_0001.xls,0.0,0.0,27.454144036857993,fos-,VGlut1,D05,1
48,D05_A01_G001_0001.xls,1.493504794684567,0.0,5.974019178738268,fos-,VGlut1,D05,1
50,D05_A01_G001_0001.xls,1.164675886496136,3.4940276594884088,13.976110637953635,fos-,VGlut1,D05,1
51,D05_A01_G001_0001.xls,7.86497436586724,2.2471355331049256,19.100652031391867,fos+,VGlut1,D05,1
53,D05_A01_G001_0001.xls,1.346761492353775,0.0,22.89494537001417,fos-,VGlut1,D05,1
54,D05_A01_G001_0001.xls,0.0,0.0,6.764307083357451,fos-,VGlut1,D05,1
55,D05_A01_G001_0001.xls,5.258784668350961,7.88817700252644,5.258784668350961,fos-,Gad2,D05,1
56,D05_A01_G001_0001.xls,1.7579574560132414,3.5159149120264828,15.821617104119172,fos-,VGlut1,D05,1
57,D05_A01_G001_0001.xls,3.887178349574395,0.0,16.52050798569118,fos-,VGlut1,D05,1
58,D05_A01_G001_0001.xls,3.5043305774659395,4.906062808452315,16.82078677183651,fos-,VGlut1,D05,1
59,D05_A01_G001_0001.xls,2.183239254652459,2.183239254652459,5.458098136631147,fos-,VGlut1,D05,1
60,D05_A01_G001_0001.xls,1.2636506314512492,1.2636506314512492,7.581903788707495,fos-,VGlut1,D05,1
62,D05_A01_G001_0001.xls,4.007510167980816,3.0056326259856117,16.030040671923263,fos-,VGlut1,D05,1
65,D05_A01_G001_0001.xls,0.8494661387367344,11.043059803577545,1.6989322774734688,fos-,Gad2,D05,1
67,D05_A01_G001_0001.xls,13.624263870325398,2.0960405954346766,15.720304465760075,fos+,VGlut1,D05,1
69,D05_A01_G001_0001.xls,2.914290613448925,16.514313476210575,8.742871840346774,fos-,Gad2,D05,1
70,D05_A01_G001_0001.xls,3.8883676481989244,1.2961225493996416,10.368980395197132,fos-,VGlut1,D05,1
71,D05_A01_G001_0001.xls,2.3548971087184447,2.3548971087184447,5.887242771796111,fos-,VGlut1,D05,1
73,D05_A01_G001_0001.xls,7.646166014066117,0.0,21.026956538681823,fos+,VGlut1,D05,1
74,D05_A01_G001_0001.xls,1.8981491886871975,0.9490745943435988,15.18519350949758,fos-,VGlut1,D05,1
75,D05_A01_G001_0001.xls,3.941197323109783,30.215846143841677,3.941197323109783,fos-,Gad2,D05,1
76,D05_A01_G001_0001.xls,1.0081641358161508,38.31023716101373,6.0489848148969045,fos-,Gad2,D05,1
77,D05_A01_G001_0001.xls,4.907686577234583,1.2269216443086457,20.857667953246978,fos-,VGlut1,D05,1
78,D05_A01_G001_0001.xls,4.066142653341733,1.3553808844472441,10.843047075577953,fos-,VGlut1,D05,1
79,D05_A01_G001_0001.xls,20.73719303663689,1.3824795357757926,15.20727489353372,fos+,VGlut1,D05,1
80,D05_A01_G001_0001.xls,4.908204458889856,1.227051114722464,14.724613376669568,fos-,VGlut1,D05,1
81,D05_A01_G001_0001.xls,1.3724650046135565,0.0,9.607255032294896,fos-,VGlut1,D05,1
82,D05_A01_G001_0001.xls,0.787964913245948,2.363894739737844,15.759298264918959,fos-,VGlut1,D05,1
83,D05_A01_G001_0001.xls,1.3814940507388767,1.3814940507388767,15.196434558127644,fos-,VGlut1,D05,1
0,D05_A01_G002_0001.xls,19.53347018670297,0.0,8.878850084864986,fos+,VGlut1,D05,2
1,D05_A01_G002_0001.xls,21.549680338955003,2.154968033895501,21.549680338955003,fos+,VGlut1,D05,2
2,D05_A01_G002_0001.xls,10.99505180486314,0.0,12.56577349127216,fos+,VGlut1,D05,2
6,D05_A01_G002_0001.xls,23.493571853886447,1.957797654490537,13.70458358143376,fos+,VGlut1,D05,2
7,D05_A01_G002_0001.xls,19.997853077939116,0.0,18.94533449488969,fos+,VGlut1,D05,2
10,D05_A01_G002_0001.xls,14.216135939023328,0.0,9.951295157316329,fos+,VGlut1,D05,2
11,D05_A01_G002_0001.xls,14.298028012106847,1.021287715150489,5.1064385757524455,fos+,VGlut1,D05,2
12,D05_A01_G002_0001.xls,9.922292333761431,0.0,9.922292333761431,fos+,VGlut1,D05,2
14,D05_A01_G002_0001.xls,26.521372367060973,0.0,10.608548946824389,fos+,VGlut1,D05,2
16,D05_A01_G002_0001.xls,16.325870571695862,0.7774224081759936,15.54844816351987,fos+,VGlut1,D05,2
17,D05_A01_G002_0001.xls,23.771833219284048,0.0,18.489203614998704,fos+,VGlut1,D05,2
18,D05_A01_G002_0001.xls,19.523212413196354,16.519641272704607,4.50535671073762,fos+,Gad2,D05,2
19,D05_A01_G002_0001.xls,20.496003963094516,0.0,19.35733707625593,fos+,VGlut1,D05,2
20,D05_A01_G002_0001.xls,11.338165667149418,20.931998154737386,7.8494993080265205,fos+,Gad2,D05,2
22,D05_A01_G002_0001.xls,13.570361879077673,0.0,5.428144751631069,fos+,VGlut1,D05,2
24,D05_A01_G002_0001.xls,10.027536744299038,0.0,9.256187763968342,fos+,VGlut1,D05,2
25,D05_A01_G002_0001.xls,13.127701619136618,0.875180107942441,7.001440863539528,fos+,VGlut1,D05,2
26,D05_A01_G002_0001.xls,15.069394959285546,0.0,9.418371849553466,fos+,VGlut1,D05,2
27,D05_A01_G002_0001.xls,24.49341010523362,0.0,6.594379643716744,fos+,VGlut1,D05,2
32,D05_A01_G002_0001.xls,18.671840373087317,0.7779933488786382,14.003880279815489,fos+,VGlut1,D05,2
33,D05_A01_G002_0001.xls,15.336520553858072,0.0,12.269216443086458,fos+,VGlut1,D05,2
34,D05_A01_G002_0001.xls,17.27074025213552,0.0,17.27074025213552,fos+,VGlut1,D05,2
36,D05_A01_G002_0001.xls,19.806397453143237,0.0,10.424419712180653,fos+,VGlut1,D05,2
37,D05_A01_G002_0001.xls,13.081471836881107,0.0,16.64914597421232,fos+,VGlut1,D05,2
