,D01_a_D01_1,D01_b_D01_2,D01_c_D01_3,D01_d_D01_4,D01_e_D01_5,D02_a_D02_0,D02_b_D02_1,D02_c_D02_2,D03_b_D03_2,D03_c_D03_3,D03_d_D03_4,D04_b_D04_2,D04_c_D04_3,D04_d_D04_4,D05_a_D05_1,D05_b_D05_2,D05_c_D05_3,D06_a_D06_1,D06_c_D06_3,D06_d_D06_4,D07_a_D07_1,D07_b_D07_2,D07_c_D07_3,D08_a_D08_1,D08_b_D08_2,D08_d_D08_4,D09_a_D09_1,D09_b_D09_2,D09_c_D09_3,D10_a_D10_1,D10_b_D10_2,D10_c_D10_3,D10_d_D10_4,D10_e_D10_5,D11_a_D11_1,D11_b_D11_2,D11_c_D11_3,D12_a_D12_1,D12_b_D12_2,D12_d_D12_3_512,D13_a_D13_1,D13_b_D13_2,D13_c_D13_3,D13_d_D13_4,D13_e_D13_5,D14_a_D14_1,D14_b_D14_2,D14_c_D14_3,D14_d_D14_4,D15_a_D15_1,D15_a_D15_1_1,D15_b_D15_2,D15_b_D15_2_1,D15_c_D15_3,D15_d_D15_4,D16_a_D16_1,D16_b_D16_2,D16_c_D16_3,D16_d_D16_4,D17_a_D17_1,D17_b_D17_2,D17_c_D17_3,D18_a_D18_1,D18_b_D18_2,D18_c_D18_3,D18_d_D18_4,D18_e_D18_5,D19_a_D19_1,D19_b_D19_2,D19_c_D19_3,D19_d_D19_4,D19_e_D19_5,D20_a_D20_1,D20_b_D20_2,D20_c_D20_3,D20_d_D20_4,D20_e_D20_5,D21_a_D21_1,D21_b_D21_2,D21_c_D21_3,D21_d_D21_4,D22_a_D22_1,D22_b_D22_2,D22_c_D22_3,D22_d_D22_4,D22_e_D22_5,D22_f_D22_6,D23_a_D23_1,D23_b_D23_2,D23_c_D23_3,D24_a_D24_1,D24_b_D24_2,D24_c_D24_3,D24_d_D24_4
Gad2,11.8058995331656,10.481735056277973,10.378839012810628,3.455186074233568,10.049854534455966,8.274327915359843,5.212003541176766,1.0596638286568516,13.56575885626365,7.236126659870212,9.186269605409667,11.207447731383336,12.94396075316654,11.862366628697831,7.660913768018544,5.026503636583211,6.136938908982918,9.054190953108554,6.5589162367249925,5.961290511749034,7.282991001086753,8.072595514291594,6.216232636056759,10.88760837487694,5.396385256826728,5.214706104841888,9.73251514723866,9.948582079882291,5.513064526816981,13.10230431781029,6.2301245266046745,8.321030108118507,4.406128131117155,6.35850963328095,9.862326966783069,4.324053639367802,13.704681884739962,5.782630128969402,7.828175431059867,5.669563028678536,11.886694252976403,13.476444361073087,5.811147537913452,4.687331178320213,6.509478376726127,11.93166656566796,7.920168481272345,11.99347682994297,8.551238731979183,11.060375855670333,11.054876889344321,5.220023989848874,4.8331856423214035,6.224418144143681,8.275023679767639,13.4590605396613,9.331631385226906,8.016171042010845,5.090559645345379,4.246480561096124,5.3124090640063475,6.670188963584655,8.00654139427429,7.339714780606168,6.511754559543358,8.444755754906613,6.115074957613107,5.001155117667389,7.323944811090701,5.358114559036103,3.7673474118327657,6.131802790985103,10.000133930119345,5.3490303653788445,4.466772960628995,5.591517025345358,4.53607896953544,8.32495598216445,4.703856221848953,5.51399589230533,3.2794837414508,10.009800625705504,5.47240972499691,4.95763365788016,7.584489360034722,6.464800968119245,6.933830552482551,6.507700155731873,5.366183137523334,7.707007248359885,3.105509288518776,6.8855185452460415,6.68457868791303,7.783523887977211
VGlut1,20.921021454213186,14.327783603196613,22.7548614867776,,9.574059438908488,12.688911278386817,,1.081954094627969,23.48365672596459,11.699332889337779,18.42456231628386,18.33301963467518,,7.734388789599603,14.299967871320234,,8.348242923530663,18.084090079097585,8.861666188823241,10.709180184713631,12.04220351052544,17.205052103812285,13.548937967238869,16.913435864819565,12.09344706206319,6.400915291687214,16.016359452011326,13.34619258906944,7.697772742073647,20.353576329045442,13.5214120052603,12.8208288648259,8.201428805800298,11.4802328428755,13.909339191647582,7.435203372556962,18.819686008187837,11.704932307966429,14.725045683004709,6.552998287280309,19.74961451324257,19.796238730667504,7.252146323944152,7.943476824397636,14.788424143269179,16.061202687046727,13.745413620777992,15.839546624592556,14.20666357059718,16.47482213068806,16.01002468040071,14.034394908210105,10.275480377780582,13.733405613779329,14.404726165231821,18.468870461304782,14.50082658854993,14.571168997717443,8.206312992734086,7.600374839503597,6.575957857596842,12.000619264208392,12.421974946816126,17.09408591443479,12.995316500898278,14.820361890248146,14.672045362496752,8.812963327222768,8.534184883415461,9.400203896299582,7.661470504642203,14.291872517528912,17.773683184088185,10.843944975525732,9.265812795873218,11.424555893035091,10.4088746371167,14.668531771155191,9.537243939051633,10.024361787663956,7.717302188456627,13.45291020694472,12.731576029357893,11.212087532452758,8.912647805016196,11.89944190246478,12.793865063822041,8.8314344974532,9.3068742261705,11.04421448806237,8.385786356165147,11.293440757557198,11.217659403355404,5.826305196081538
Gad2_variance,12.52465425615489,14.342199869160261,18.77819707264732,0.0,36.298728336906045,6.716643654852232,14.723093363075993,1.2482555900475507,16.81642020563539,5.644049370194513,29.31886313323969,31.463891445841597,25.166679479773396,26.545743898258987,7.409704357619621,2.3448152701754985,3.4154407629227235,16.754513113503602,8.663914745866776,16.385159246709723,10.540408535524982,14.585460664248329,12.69349310511935,19.652711781999365,6.9468998290673305,1.840760413242112,19.832435294167404,35.11526300778262,8.551723400707228,22.890812912601458,14.375906255123953,16.566198178887888,6.748422093462169,9.448634221139232,17.129741714759707,3.0081058870985258,22.733200191768123,9.028583721826118,13.475546603263867,11.70070055795609,28.77535234871913,30.318524739114398,5.618095422999588,7.246541415254759,14.513682117829052,29.25985702987828,7.596773911599865,26.119061849645526,21.814965473826152,18.929806264452417,19.608810090899972,6.373091906076931,4.764252799368342,6.55269025576646,22.15268890703875,27.352879565911262,18.249533332153586,8.077292224971178,10.164494915581438,7.712328414177261,10.346408565143252,9.223175860056038,12.059934768639453,17.049119658857375,9.828393440178974,13.13156697968098,8.929886192577463,9.231831248563983,14.416236880500149,8.269113205308411,3.498331558550351,14.162480801576121,21.802698566937625,7.295683160096741,4.945352808439651,7.7910154685635655,8.29125820595388,27.359051555066337,11.174757669920448,8.627060659602428,4.0956771121501845,16.378591768286835,8.457141559196222,7.601616768883571,7.89147089844909,14.51813339326298,9.017385034875709,4.878652493439439,6.819487303902793,8.688426863594154,2.0193166763092836,2.124241255375175,7.2279169624274715,17.110547174658656
VGlut1_variance,54.251169255127785,43.31288944358409,12.048404323027016,,19.066754242245313,27.776379314270134,,1.0011648617336375,41.19837911658221,15.435091372080137,23.600814988262012,45.75982034374068,,32.72585902272494,13.959064451228079,,2.578953994111485,52.24638520477617,0.0,14.118494836966446,4.329792979749556,22.238205750112083,5.200103845941742,17.82473002355042,14.384591320593739,10.188417980824507,27.030623604938874,12.502272659271686,2.7572098534127343,43.20597074754803,41.237809457225644,27.238008555134304,7.877105696404291,18.183710354320297,11.976213433156497,3.92319831654254,12.922961566167656,18.318280849963735,40.54236759909512,13.647934004758689,34.0697802520809,17.721572569099248,10.685331542048047,10.165499080493973,11.627291162563075,35.31229271748821,30.311485360115668,14.888469503233523,30.654926964744053,23.465494340924398,22.110412872955873,36.34906230956528,15.744684436990802,13.696512227494159,16.30046119822506,23.859210257154064,8.724248080074917,27.551249620649013,7.971764539875875,14.232378076793944,11.337612642179659,10.237034969315886,22.887597440658034,34.45514206033562,28.17717528800637,27.24793311715015,29.390223834660983,15.069924147664407,11.680836298632569,18.82046379701689,13.105232541166059,9.727412231537473,25.73713884678067,20.044097962394165,24.0013666367042,17.414096526762446,12.75551003044759,1.5191998174079866,10.209783828483392,15.979122134082173,6.112957320017438,24.528233915091164,20.79838592313121,7.674865529119369,18.203347328165993,24.04712003047625,25.605254568704346,9.771596986946287,12.453380315795222,15.48123811229328,9.158058913845766,13.995309134778408,39.30612161421858,9.065037018844139
